PID,Title,Link,owner,Comments
,Add isVideo interface for video call,http://review.sonyericsson.net/#/c/1069544,platform/frameworks/base
,"Revert ""Fix build error(Telephony)""",http://review.sonyericsson.net/#/c/1169543,platform/packages/services/Telephony
,Fix build error(Telephony),http://review.sonyericsson.net/#/c/1165268,platform/packages/services/Telephony
11525,DSDS:Dismiss the dialog of pin change for slot2 after it's done.,http://review.sonyericsson.net/#/c/1082449,platform/packages/services/Telephony
,Set all item clickable when onResume(),http://review.sonyericsson.net/#/c/1139504,platform/packages/services/Telephony
,Remove CallerInfoCacheUpdateReceiver define,http://review.sonyericsson.net/#/c/1082680,platform/packages/services/Telephony
,Issue: when Multi Sim is Enabledthe content text of notification bar        are set twice.,http://review.sonyericsson.net/#/c/1103742,platform/packages/apps/InCallUI
,Fix VM notification issue,http://review.sonyericsson.net/#/c/1143900,platform/packages/services/Telephony
,Fix voicemail notification use default notification,http://review.sonyericsson.net/#/c/1138776,platform/packages/services/Telephony
,Crash at com.android.incallui when run spank.,http://review.sonyericsson.net/#/c/1254533,platform/packages/apps/InCallUI
,Disconnect the WaitingForAccountCall when incoming call,http://review.sonyericsson.net/#/c/1236559,platform/packages/apps/InCallUI
,Fix crash issue when tap call log then select SIP call,http://review.sonyericsson.net/#/c/1201880,platform/packages/apps/InCallUI
,Fix InCallUI crash issue.,http://review.sonyericsson.net/#/c/1182175,platform/packages/apps/InCallUI
,DSDS:Add SIM name on incoming call notifications,http://review.sonyericsson.net/#/c/1176117,platform/packages/apps/InCallUI
,Update Answer and Decline icon,http://review.sonyericsson.net/#/c/1157789,platform/packages/apps/InCallUI
11336,DSDS: InCall UI Crash in landscape mode,http://review.sonyericsson.net/#/c/1125686,platform/packages/apps/InCallUI
,Remove MTK original translation,http://review.sonyericsson.net/#/c/1096772,platform/packages/apps/InCallUI
,Remove MTK strings,http://review.sonyericsson.net/#/c/1094992,platform/packages/apps/InCallUI
,Fix music can not stop when receive call in vibration mode,http://review.sonyericsson.net/#/c/1188757,platform/packages/services/Telecomm
,Fix string label issue,http://review.sonyericsson.net/#/c/1168032,platform/packages/services/Telecomm
11780,Outgoing call cannot be cancelled after short pressing key on PHF.,http://review.sonyericsson.net/#/c/1163777,platform/packages/services/Telecomm
,Avoid crash when quickly tapping Enable AM button,http://review.sonyericsson.net/#/c/1149822,platform/packages/services/Telecomm
,Key on PHF doesn't work,http://review.sonyericsson.net/#/c/1122674,platform/packages/services/Telecomm
,Remove MTK original translation,http://review.sonyericsson.net/#/c/1096708,platform/packages/services/Telecomm
9337,Add CNAP(Calling Name Presentation) support,http://review.sonyericsson.net/#/c/1088318,platform/packages/services/Telecomm
,Use Async task to clear Answer machine notification,http://review.sonyericsson.net/#/c/1288366,platform/packages/services/Telecomm
