,Fix string label issue,http://review.sonyericsson.net/#/c/1168032
11780,Outgoing call cannot be cancelled after short pressing key on PHF.,http://review.sonyericsson.net/#/c/1163777
,Avoid crash when quickly tapping Enable AM button,http://review.sonyericsson.net/#/c/1149822
,Key on PHF doesn't work,http://review.sonyericsson.net/#/c/1122674
,Remove MTK original translation,http://review.sonyericsson.net/#/c/1096708
9337,Add CNAP(Calling Name Presentation) support,http://review.sonyericsson.net/#/c/1088318
,Use Async task to clear Answer machine notification,http://review.sonyericsson.net/#/c/1288366
,Fix 110/119 can not be dialed out in locked screen,http://review.sonyericsson.net/#/c/1282165
,FP15138 CallRecording - On Off setting for Call recording feature.,http://review.sonyericsson.net/#/c/1079159
,FIX for GSMA TS27,http://review.sonyericsson.net/#/c/1265389
,The number of remaining attempts not displayed,http://review.sonyericsson.net/#/c/1258861
,Mobile networks display grey with SIM card on ComsosSS,http://review.sonyericsson.net/#/c/1247775
,Mobile networks should display grey without SIM card,http://review.sonyericsson.net/#/c/1241512
,phone number changed to Unknown in calllog,http://review.sonyericsson.net/#/c/1212214
,Notification sound shouldn't be heard after send USSD failed.,http://review.sonyericsson.net/#/c/1176375
,[TUL.FC][Phone]remove message required by operator,http://review.sonyericsson.net/#/c/1191326
,Fix bug for PTCRB certification,http://review.sonyericsson.net/#/c/1181736
11525,Modify PIN/PUK MMI code handling in multi sim,http://review.sonyericsson.net/#/c/1180889
,Fix call settings UI issue,http://review.sonyericsson.net/#/c/1176115
,[TUL.FC][Phone]remove message required by operator,http://review.sonyericsson.net/#/c/1168259
,Call Barring's options don't display gray when activated FDN,http://review.sonyericsson.net/#/c/1166393
,While flight mode on it take too long time to establish ECC,http://review.sonyericsson.net/#/c/1166774
,"Remove extra String ""Attempts remaining:""",http://review.sonyericsson.net/#/c/1157941
,FP12456 Allow to force upgrade to LTE for DS,http://review.sonyericsson.net/#/c/1151455
,Use new string label,http://review.sonyericsson.net/#/c/1124608
,Remove MagiConference from CallSetting,http://review.sonyericsson.net/#/c/1124468
10676,DSDS requirement: Change call forwarding,http://review.sonyericsson.net/#/c/1122555
,Merge remote-tracking branch 'remotes/origin/odm/arima/android/l-chambal-cosmos-somc' into rebaseMain,http://review.sonyericsson.net/#/c/1108460
,Add strings,http://review.sonyericsson.net/#/c/1107544
,Remove MTK original translation,http://review.sonyericsson.net/#/c/1096750
,Remove MTK strings,http://review.sonyericsson.net/#/c/1093969
10972,Search in Settings - Telephony update,http://review.sonyericsson.net/#/c/1090482
10237,Selection mode doesn't become auto from manual automatically,http://review.sonyericsson.net/#/c/1082556
8374,Toggle data connection when FDN is enabled,http://review.sonyericsson.net/#/c/1075192
9209,Change PhoneAlertDialog background color,http://review.sonyericsson.net/#/c/1088671
10932,Update telephony UI resource w1502.2,http://review.sonyericsson.net/#/c/1088661
9218,Phone number should be displayed in normal order in Arabic,http://review.sonyericsson.net/#/c/1082825
10194,Delete the duplication string id,http://review.sonyericsson.net/#/c/1082688
8978,Customization of networks searching,http://review.sonyericsson.net/#/c/1082469
11007,Fix to UI hanging for Call Waiting setting.,http://review.sonyericsson.net/#/c/1081669
11615,"Start ""Data Usage"" for ""Mobile data"" notificaiton",http://review.sonyericsson.net/#/c/1081617
8500,FP6039 Extended call failed string,http://review.sonyericsson.net/#/c/1071094
8521,Close the gap from OSS (data roaming),http://review.sonyericsson.net/#/c/1078369
10194,[FP18535] Disable data traffic in 2G only network mode,http://review.sonyericsson.net/#/c/1078368
8829,Bringup of Notification icon for Mobie data setting,http://review.sonyericsson.net/#/c/1066737
7391,FP15138 CallRecording - Call setting implementation for Call Recorder,http://review.sonyericsson.net/#/c/1079325
10932,Update drawable resources for W49.3,http://review.sonyericsson.net/#/c/1080503
10289,coverity and findbugs correction for the TeleService project(For PID8915),http://review.sonyericsson.net/#/c/1080437
,Comment out code for increasing ringtone,http://review.sonyericsson.net/#/c/1077939
9160,Normal UI(CallSettings),http://review.sonyericsson.net/#/c/1073988
11260,AID should not be shown in user variant,http://review.sonyericsson.net/#/c/1075311
8971,Dial FDN number from FDN list directly.,http://review.sonyericsson.net/#/c/1068920
8975,Don't bar the call even if the state is out of service,http://review.sonyericsson.net/#/c/1066849
8519,Popup dialog for data traffic switching widget,http://review.sonyericsson.net/#/c/1065025
9429,Hearing aids Feature,http://review.sonyericsson.net/#/c/1065250
8460,FP12456 Allow to force upgrade to LTE,http://review.sonyericsson.net/#/c/1070387
9224,FP14556 Answering machine,http://review.sonyericsson.net/#/c/1070352
8957,Clear all settings of the PhoneApp after setting reset,http://review.sonyericsson.net/#/c/1064913
9194,Add Interface to get config from Telecomm,http://review.sonyericsson.net/#/c/1063717
9194,Add semcbuild.properties to run code check tools on TeleService,http://review.sonyericsson.net/#/c/1067312
8459,Fixing EditPhoneNumberPreference to avoid overwriting default number,http://review.sonyericsson.net/#/c/1067299
9427,Change SharedPreferences.Editor.commit() to apply(),http://review.sonyericsson.net/#/c/1064865
9194,Add the method to check whether the device is tablet,http://review.sonyericsson.net/#/c/1063805
,Revert commit d9a9d16f92bff3ca954c5dcf0556702895432854,http://review.sonyericsson.net/#/c/1295598
10861,Fix build error,http://review.sonyericsson.net/#/c/1110126
11917,Fix no response when MMI fails on emergency dialer,http://review.sonyericsson.net/#/c/1108844
11912,Removes handling of Dock event,http://review.sonyericsson.net/#/c/1108795
9160,Change Checkboxes to Toggle switches on CallSettings,http://review.sonyericsson.net/#/c/1108552
10972,Avoid race condition in SomcPhoneSearchIndexablesProvider,http://review.sonyericsson.net/#/c/1108462
9014,Show voicemail in call log should not be seen,http://review.sonyericsson.net/#/c/1108250
10972,Search in Setting update of non indexable keys,http://review.sonyericsson.net/#/c/1107292
9224,Change request of Answering Machine,http://review.sonyericsson.net/#/c/1106794
